MNO,Code,Latitude,Longitude
Telefonica,3700163,40.804356,-5.220922
Vodafone,70332,36.708,-4.43965
Telefonica,4300272,41.223611,1.622081
Telefonica,0802229,41.395703,2.106428
Telefonica,4600145,38.749414,-0.555539
Telefonica,3501172,28.149614,-15.424586
Telefonica,4500921,39.952553,-4.496139
Vodafone,66841,37.948908,-1.191189
Telefonica,0400318,37.151706,-2.081419
Telefonica,1800129,37.717742,-2.642217
Telefonica,2800653,40.823172,-3.793867
Telefonica,3000822,37.701336,-1.104897
Telefonica,3700243,41.037511,-5.788886
Orange,CTBR0180A,43.464686,-3.798406
Telefonica,2800275,40.346392,-3.852747
Telefonica,1401155,37.590833,-4.628889
Vodafone,186915,40.341372,-3.692803
Telefonica,2803478,40.249117,-3.697664
Telefonica,5000193,41.815064,-1.524247
Telefonica,3601810,42.417922,-8.646364
Telefonica,5100031,35.884464,-5.3292
Vodafone,197858,42.194397,2.488553
Telefonica,3300134,43.533108,-5.661428
Vodafone,51970,39.472386,-0.358067
Telefonica,0300045,38.847906,-0.047411
Telefonica,4100420,37.399,-5.999528
Vodafone,18323,39.579597,2.351083
Telefonica,3300099,43.315206,-5.721769
Telefonica,4700163,41.598978,-4.718133
Vodafone,01057,39.492931,2.883394
Telefonica,1500710,43.375333,-8.40275
Telefonica,4300836,41.068236,1.057192
Telefonica,3900110,43.372653,-3.860972
Telefonica,3200064,42.306336,-7.887131
Telefonica,1800598,37.629333,-2.788558
Telefonica,1101190,36.450911,-6.130217
Telefonica,0804939,41.543942,2.093703
Telefonica,3100158,42.382142,-1.944769
Orange,BALR0426C,39.878083,4.290928
Telefonica,2809898,40.438461,-3.704319
Telefonica,0100058,43.129606,-3.156003
Telefonica,0803417,41.400533,2.178708
Telefonica,2400981,42.822139,-6.137889
Orange,CANR0123B,27.840331,-15.445281
Telefonica,0804679,41.394603,2.163053
Telefonica,2200165,42.771528,-0.330611
Telefonica,2803087,40.4396,-3.697331
Telefonica,3900623,43.151822,-4.621242
Telefonica,2803389,40.432197,-3.804025
Vodafone,000596,41.398481,2.121247
Telefonica,3700010,41.009778,-6.434139
Orange,CATR3242A,41.323033,2.134858
Telefonica,2600456,42.614511,-3.037544
Telefonica,0804515,41.563389,2.448853
Vodafone,73481,39.627153,2.619981
Telefonica,0700350,39.590794,2.62555
Orange,ARAR0097A,41.641983,-0.897717
Telefonica,3900717,43.297689,-4.044789
Orange,GALR0458C,42.948361,-8.451333
Telefonica,4300537,41.003325,0.932872
Telefonica,2901278,36.877436,-4.250261
Telefonica,4603378,38.834656,-0.530686
Telefonica,0900506,42.480611,-4.106944
Telefonica,3700460,41.172067,-5.790314
Telefonica,1900433,40.6083,-3.212722
Telefonica,0400840,37.351556,-1.682333
Telefonica,0300680,38.637064,0.071639
Telefonica,1900689,40.595444,-3.109178
Telefonica,4600262,38.899406,-0.418589
Orange,ANDR0367A,37.404736,-5.974356
Telefonica,3300472,43.249714,-5.773142
Orange,ANDR6710A,37.763156,-4.824425
Telefonica,1700832,42.370189,1.887586
Vodafone,112393,43.265564,-2.995511
Telefonica,0803114,41.796683,1.732636
Telefonica,4500967,40.093567,-4.793808
Telefonica,3302333,43.461111,-5.788947
Telefonica,4800495,43.260803,-2.940008
Telefonica,0200431,38.687561,-2.373425
Telefonica,1000538,39.476872,-6.371522
Orange,CATR8220A,41.264039,1.539025
Telefonica,2800385,40.433053,-3.709364
Telefonica,3502180,28.707128,-13.873014
Telefonica,2300119,37.796069,-3.610014
Telefonica,5000227,41.643006,-0.868167
Telefonica,3300153,43.349878,-5.216736
Telefonica,0801255,41.401536,2.166211
Telefonica,2803566,40.413239,-3.750067
Telefonica,2400220,42.914639,-5.058389
Telefonica,4600655,39.474792,-0.385994
Orange,CATR6135C2,41.425317,2.142136
Telefonica,4602765,39.420642,-0.375808
Telefonica,2800893,40.425267,-3.448436
Telefonica,3500672,28.494439,-13.863531
Telefonica,3601934,42.094133,-8.648458
Telefonica,0302145,38.570108,-0.140372
Telefonica,3500163,28.367717,-13.961589
Telefonica,1700453,41.820767,2.718614
Orange,ASTR0050J,43.520833,-5.639889
Telefonica,0300486,38.169264,-0.839247
Telefonica,3000588,37.774525,-1.500947
Telefonica,0400393,37.236361,-2.035972
Orange,ANDR0194A,37.33675,-5.843167
Telefonica,4601457,38.955594,-0.588739
Vodafone,1126,39.423314,2.754922
